Household,Family Size,Location,Ownership,First Income,Second Income,Monthly Payment,Utilities,Debt
439,4,3,0,"$38,481","$31,892",$475,$210,"$2,301"
440,1,2,1,"$56,151",,"$1,128",$252,"$3,816"
441,2,4,0,"$31,118","$30,705",$595,$204,"$3,482"
442,5,2,1,"$53,338",,$793,$274,"$5,444"
443,6,3,0,"$25,246","$15,707",$954,$222,"$4,001"
444,4,2,1,"$32,705","$25,029","$1,142",$252,"$4,802"
445,5,2,1,"$79,696","$42,497",$814,$273,"$7,041"
446,2,4,0,"$24,327","$24,250",$628,$194,"$1,675"
447,5,1,1,"$84,098","$60,049","$1,213",$267,"$5,861"
448,3,4,0,"$23,653","$15,052",$474,$216,"$1,623"
449,2,2,1,"$58,305",,"$1,171",$247,"$5,803"
450,1,1,0,"$47,570",,$918,$200,"$2,689"
451,3,4,0,"$20,435","$18,013",$547,$215,"$2,538"
452,2,2,1,"$84,675",,"$1,068",$249,"$4,130"
453,5,1,0,"$42,603","$30,072",$931,$220,"$2,958"
454,3,1,0,"$35,043","$18,189",$930,$207,"$2,340"
455,4,3,0,"$18,782","$13,096",$719,$206,"$3,330"
456,1,1,0,"$32,125",,$597,$196,"$1,597"
457,3,2,1,"$38,157","$27,643",$727,$264,"$5,260"
458,3,3,0,"$29,101","$15,967",$500,$206,"$3,447"
459,3,1,1,"$37,869","$30,059",$941,$262,"$5,642"
460,4,3,0,"$26,103","$17,435",$934,$215,"$2,932"
461,4,1,1,"$55,264","$46,778","$1,420",$265,"$6,729"
462,2,3,0,"$29,718","$17,955","$1,240",$206,"$2,851"
463,4,3,1,"$34,884",,$783,$251,"$3,871"
464,3,3,0,"$33,467","$30,032","$1,286",$214,"$3,210"
465,1,3,0,"$18,119",,"$1,452",$211,"$3,523"
466,8,2,1,"$46,100","$44,847",$820,$286,"$6,840"
467,3,1,1,"$48,369",,"$1,222",$259,"$5,107"
468,2,2,0,"$45,275","$29,055","$1,076",$197,"$1,686"
469,1,3,1,"$35,430",,"$1,029",$259,"$3,978"
470,3,4,0,"$42,249","$32,387",$615,$208,"$2,658"
471,3,1,1,"$84,823","$44,388","$1,136",$254,"$5,801"
472,1,2,1,"$60,069",,"$1,434",$249,"$3,578"
473,2,4,1,"$28,534",,$760,$255,"$3,281"
474,4,4,1,"$30,433","$28,204",$584,$260,"$4,823"
475,3,1,1,"$53,184","$41,624","$1,033",$254,"$5,889"
476,1,3,0,"$49,358",,$562,$205,"$2,962"
477,1,3,1,"$41,628",,"$1,732",$253,"$5,370"
478,3,3,1,"$46,389",,"$1,780",$258,"$6,341"
479,2,1,1,"$85,051",,"$1,307",$246,"$5,460"
480,3,3,0,"$46,703","$40,502","$1,078",$205,"$3,606"
481,3,4,0,"$33,268","$17,587",$680,$208,"$1,909"
482,3,2,1,"$76,435","$40,136","$1,009",$259,"$6,806"
483,2,4,1,"$37,450","$21,464",$618,$248,"$3,098"
484,1,3,0,"$47,244",,$638,$196,"$2,896"
485,3,3,0,"$57,525","$29,514","$1,001",$213,"$3,436"
486,3,4,1,"$33,919","$31,371",$713,$259,"$4,619"
487,3,1,1,"$50,643","$37,465","$1,436",$261,"$5,744"
488,1,3,0,"$26,610",,$999,$197,"$1,629"
489,5,2,1,"$52,656","$30,422",$747,$266,"$6,447"
490,2,3,1,"$49,255","$35,491","$1,280",$253,"$4,684"
491,3,4,0,"$31,142","$18,969",$400,$218,"$3,409"
492,5,1,1,"$39,189","$24,834","$1,067",$275,"$6,570"
493,3,4,0,"$46,379","$26,253",$484,$215,"$1,458"
494,1,3,1,"$42,313",,$883,$248,"$3,132"
495,2,1,1,"$46,828","$39,596","$1,032",$246,"$6,001"
496,3,1,0,"$42,758","$34,067","$1,184",$197,"$3,194"
497,5,2,1,"$66,397","$54,716",$990,$274,"$8,400"
498,2,2,1,"$43,599","$33,364","$1,603",$253,"$5,675"
499,4,4,1,"$25,713",,$831,$266,"$4,879"
500,1,4,1,"$39,187",,$948,$251,"$3,278"
